method	taxid
cmsearch_rfamlit1_mid	1310765
cmsearch_rfamlit1_mid	1310767
cmsearch_rfamlit1_mid	1310768
cmsearch_rfamlit1_mid	1310774
cmsearch_rfamlit1_mid	1310775
cmsearch_rfamlit1_mid	1310777
cmsearch_rfamlit1_mid	1310780
cmsearch_rfamlit1_mid	1310785
cmsearch_rfamlit1_mid	1310787
cmsearch_rfamlit1_mid	1310789
cmsearch_rfamlit1_mid	1310792
cmsearch_rfamlit1_mid	1310793
cmsearch_rfamlit1_mid	1310794
cmsearch_rfamlit1_mid	1310796
cmsearch_rfamlit1_mid	1310797
cmsearch_rfamlit1_mid	1310799
cmsearch_rfamlit1_mid	1310801
cmsearch_rfamlit1_mid	1310802
cmsearch_rfamlit1_mid	1310803
cmsearch_rfamlit1_mid	1310805
cmsearch_rfamlit1_mid	1310806
cmsearch_rfamlit1_mid	1310807
cmsearch_rfamlit1_mid	1310808
cmsearch_rfamlit1_mid	1310809
cmsearch_rfamlit1_mid	1310810
cmsearch_rfamlit1_mid	1310811
cmsearch_rfamlit1_mid	1310812
cmsearch_rfamlit1_mid	1310815
cmsearch_rfamlit1_mid	1310820
cmsearch_rfamlit1_mid	1310825
cmsearch_rfamlit1_mid	1310829
cmsearch_rfamlit1_mid	1310831
cmsearch_rfamlit1_mid	1310835
cmsearch_rfamlit1_mid	1310836
cmsearch_rfamlit1_mid	1310837
cmsearch_rfamlit1_mid	1310838
cmsearch_rfamlit1_mid	1310839
cmsearch_rfamlit1_mid	1310840
cmsearch_rfamlit1_mid	1310841
cmsearch_rfamlit1_mid	1310842
cmsearch_rfamlit1_mid	1310843
cmsearch_rfamlit1_mid	1310844
cmsearch_rfamlit1_mid	1310846
cmsearch_rfamlit1_mid	1310848
cmsearch_rfamlit1_mid	1310850
cmsearch_rfamlit1_mid	1310851
cmsearch_rfamlit1_mid	1310852
cmsearch_rfamlit1_mid	1310854
cmsearch_rfamlit1_mid	1310855
cmsearch_rfamlit1_mid	1310857
cmsearch_rfamlit1_mid	1310858
cmsearch_rfamlit1_mid	1310859
cmsearch_rfamlit1_mid	1310860
cmsearch_rfamlit1_mid	1310861
cmsearch_rfamlit1_mid	1310862
cmsearch_rfamlit1_mid	1310863
cmsearch_rfamlit1_mid	1310864
cmsearch_rfamlit1_mid	1310865
cmsearch_rfamlit1_mid	1310866
cmsearch_rfamlit1_mid	1310867
cmsearch_rfamlit1_mid	1310868
cmsearch_rfamlit1_mid	1310869
cmsearch_rfamlit1_mid	1310870
cmsearch_rfamlit1_mid	1310872
cmsearch_rfamlit1_mid	1310875
cmsearch_rfamlit1_mid	1310877
cmsearch_rfamlit1_mid	1310878
cmsearch_rfamlit1_mid	1310879
cmsearch_rfamlit1_mid	1310880
cmsearch_rfamlit1_mid	1310881
cmsearch_rfamlit1_mid	1310882
cmsearch_rfamlit1_mid	1310884
cmsearch_rfamlit1_mid	1310885
cmsearch_rfamlit1_mid	1310886
cmsearch_rfamlit1_mid	1310887
cmsearch_rfamlit1_mid	1310888
cmsearch_rfamlit1_mid	1310889
cmsearch_rfamlit1_mid	1310890
cmsearch_rfamlit1_mid	1310892
cmsearch_rfamlit1_mid	1310893
cmsearch_rfamlit1_mid	1310894
cmsearch_rfamlit1_mid	1310897
cmsearch_rfamlit1_mid	1310898
cmsearch_rfamlit1_mid	1310899
cmsearch_rfamlit1_mid	1310900
cmsearch_rfamlit1_mid	1310901
cmsearch_rfamlit1_mid	1310902
cmsearch_rfamlit1_mid	1310903
cmsearch_rfamlit1_mid	1310904
cmsearch_rfamlit1_mid	1310915
cmsearch_rfamlit1_mid	1310916
cmsearch_rfamlit1_mid	1310917
cmsearch_rfamlit1_mid	1310918
cmsearch_rfamlit1_mid	1310919
cmsearch_rfamlit1_mid	1310920
cmsearch_rfamlit1_mid	1310921
cmsearch_rfamlit1_mid	1310923
cmsearch_rfamlit1_mid	1310924
cmsearch_rfamlit1_mid	1310925
cmsearch_rfamlit1_mid	1310926
cmsearch_rfamlit1_mid	1310929
cmsearch_rfamlit1_mid	1310930
cmsearch_rfamlit1_mid	1310931
cmsearch_rfamlit1_mid	1310932
cmsearch_rfamlit1_mid	1310933
cmsearch_rfamlit1_mid	1310934
cmsearch_rfamlit1_mid	1310935
cmsearch_rfamlit1_mid	1310936
cmsearch_rfamlit1_mid	1310938
cmsearch_rfamlit1_mid	1310939
cmsearch_rfamlit1_mid	1310940
cmsearch_rfamlit1_mid	1310941
cmsearch_rfamlit1_mid	1310942
cmsearch_rfamlit1_mid	1310943
cmsearch_rfamlit1_mid	1310944
cmsearch_rfamlit1_mid	1310945
cmsearch_rfamlit1_mid	1310948
cmsearch_rfamlit1_mid	1310949
cmsearch_rfamlit1_mid	1310951
cmsearch_rfamlit1_mid	1310953
cmsearch_rfamlit1_mid	1310954
cmsearch_rfamlit1_mid	1310955
cmsearch_rfamlit1_mid	1310956
cmsearch_rfamlit1_mid	1310961
cmsearch_rfamlit1_mid	1310964
cmsearch_rfamlit1_mid	1310965
cmsearch_rfamlit1_mid	1310970
cmsearch_rfamlit1_mid	1310971
cmsearch_rfamlit1_mid	1310972
cmsearch_rfamlit1_mid	1310975
cmsearch_rfamlit1_mid	1310976
cmsearch_rfamlit1_mid	1310977
cmsearch_rfamlit1_mid	1310978
cmsearch_rfamlit1_mid	1310979
cmsearch_rfamlit1_mid	1310980
cmsearch_rfamlit1_mid	1310981
cmsearch_rfamlit1_mid	1310982
cmsearch_rfamlit1_mid	1310983
cmsearch_rfamlit1_mid	1310984
cmsearch_rfamlit1_mid	1310985
cmsearch_rfamlit1_mid	1310986
cmsearch_rfamlit1_mid	1310988
cmsearch_rfamlit1_mid	1310989
cmsearch_rfamlit1_mid	1310990
cmsearch_rfamlit1_mid	1310991
cmsearch_rfamlit1_mid	1310992
cmsearch_rfamlit1_mid	1311003
cmsearch_rfamlit1_mid	1311004
cmsearch_rfamlit1_mid	1311006
cmsearch_rfamlit1_mid	1311007
cmsearch_rfamlit1_mid	1311009
cmsearch_rfamlit1_mid	1311010
cmsearch_rfamlit1_mid	1311012
cmsearch_rfamlit1_mid	1311013
cmsearch_rfamlit1_mid	1311027
cmsearch_rfamlit1_mid	1311028
cmsearch_rfamlit1_mid	1311029
cmsearch_rfamlit1_mid	1311031
cmsearch_rfamlit1_mid	1311032
cmsearch_rfamlit1_mid	1311033
cmsearch_rfamlit1_mid	1311035
cmsearch_rfamlit1_mid	1311036
cmsearch_rfamlit1_mid	1311037
cmsearch_rfamlit1_mid	1311038
cmsearch_rfamlit1_mid	1311039
cmsearch_rfamlit1_mid	1311040
cmsearch_rfamlit1_mid	1311041
cmsearch_rfamlit1_mid	1311042
cmsearch_rfamlit1_mid	1311043
cmsearch_rfamlit1_mid	1311044
cmsearch_rfamlit1_mid	1311045
cmsearch_rfamlit1_mid	1311046
cmsearch_rfamlit1_mid	1311047
cmsearch_rfamlit1_mid	1311048
cmsearch_rfamlit1_mid	1311065
cmsearch_rfamlit1_mid	1311066
cmsearch_rfamlit1_mid	1311067
cmsearch_rfamlit1_mid	1311068
cmsearch_rfamlit1_mid	1311069
cmsearch_rfamlit1_mid	1311070
cmsearch_rfamlit1_mid	1311071
cmsearch_rfamlit1_mid	1311072
cmsearch_rfamlit1_mid	1311073
cmsearch_rfamlit1_mid	1311074
cmsearch_rfamlit1_mid	1311075
cmsearch_rfamlit1_mid	1311076
cmsearch_rfamlit1_mid	1311077
cmsearch_rfamlit1_mid	1311078
cmsearch_rfamlit1_mid	1311079
cmsearch_rfamlit1_mid	1311080
cmsearch_rfamlit1_mid	1311081
cmsearch_rfamlit1_mid	1311082
cmsearch_rfamlit1_mid	1311083
cmsearch_rfamlit1_mid	1311084
cmsearch_rfamlit1_mid	1311085
cmsearch_rfamlit1_mid	1311086
cmsearch_rfamlit1_mid	1311087
cmsearch_rfamlit1_mid	1311098
cmsearch_rfamlit1_mid	1311099
cmsearch_rfamlit1_mid	1311100
cmsearch_rfamlit1_mid	1311101
cmsearch_rfamlit1_mid	1311103
cmsearch_rfamlit1_mid	1311105
cmsearch_rfamlit1_mid	1311106
cmsearch_rfamlit1_mid	1311107
cmsearch_rfamlit1_mid	1311113
cmsearch_rfamlit1_mid	1311118
cmsearch_rfamlit1_mid	1311122
cmsearch_rfamlit1_mid	1311124
cmsearch_rfamlit1_mid	1311126
cmsearch_rfamlit1_mid	1311128
cmsearch_rfamlit1_mid	1311131
cmsearch_rfamlit1_mid	1311134
cmsearch_rfamlit1_mid	1315138
cmsearch_rfamlit1_mid	1315139
cmsearch_rfamlit1_mid	1315140
cmsearch_rfamlit1_mid	1315141
cmsearch_rfamlit1_mid	1315142
cmsearch_rfamlit1_mid	1315143
